ID       , Epic                , Story                                              , Descricao                                                   , Prioridade, SP, Sprint  , Status, Responsavel_Papel        , Responsavel_Sugerido, Dependencias                 , Criterio_Aceite
ARC-01   , Plataforma Base     , Definir ADRs e mapa de bounded contexts            , "Formalizar decisões de arquitetura, fronteiras e contratos", P0        ,  5, Sprint 1, Todo  , Arquiteto de Software    , Jorge Oliveira      ,                              , "ADRs versionados; mapa de contextos aprovado"
ARC-02   , Plataforma Base     , Criar template de microsserviço Clean Architecture , "Template com domain/application/infra, testes e lint"      , P0        ,  8, Sprint 1, Todo  , Tech Lead Backend        , Dev Backend 1       , ARC-01                       , "Novo serviço criado em <30 min; testes base verdes"
ARC-03   , Plataforma Base     , Padronizar versionamento de APIs e breaking changes, "Definir semver e política de compatibilidade"              , P0        ,  3, Sprint 1, Todo  , Tech Lead Backend        , Dev Backend 1       , ARC-01                       , "Política publicada; breaking changes bloqueadas em CI"
CICD-01  , CI/CD               , Pipeline baseline de qualidade                     , "Lint + testes unitários + cobertura mínima + security scan", P0        ,  8, Sprint 1, Todo  , DevOps Engineer          , DevOps 1            , ARC-02                       , "PR só merge com checks verdes"
MS-01    , Microsserviços      , Implementar Auth Service (JWT + RBAC)              , "Serviço de autenticação e autorização por perfil"          , P0        , 13, Sprint 2, Todo  , Backend Engineer         , Dev Backend 2       , ARC-02                       , "JWT válido; RBAC admin/profissional"
MS-02    , Microsserviços      , Implementar Patient Service                        , "CRUD paciente com contrato OpenAPI"                        , P0        ,  8, Sprint 2, Todo  , Backend Engineer         , Dev Backend 1       , ARC-02                       , "CRUD completo; teste de contrato aprovado"
SEC-01   , Segurança/LGPD      , Gestão de segredos e hardening inicial             , "Remover segredos do código e aplicar políticas mínimas"    , P0        ,  5, Sprint 2, Todo  , Security Engineer        , SecOps 1            , CICD-01                      , "Segredos em secret manager; varredura sem críticos"
MS-03    , Microsserviços      , Implementar EMR Service (RCOP/SOAP)                , "Serviço clínico com casos de uso SOAP"                     , P0        , 13, Sprint 3, Todo  , Backend Engineer         , Dev Backend 2       , MS-02                        , "Operações RCOP/SOAP disponíveis por API"
MS-04    , Microsserviços      , Implementar Scheduling Service                     , "Serviço de agendamento desacoplado"                        , P0        ,  8, Sprint 3, Todo  , Backend Engineer         , Dev Backend 1       , MS-01                        , "Agendamento independente e funcional"
CLN-01   , Dados Clínicos      , Validação de completude SOAP                       , "Regras de obrigatoriedade e consistência clínica"          , P0        ,  8, Sprint 3, Todo  , Clinical Product Engineer, Dev Backend 2       , MS-03                        , "Persistência bloqueia SOAP inválido"
MS-05    , Microsserviços      , Implementar Audit Service                          , "Registro de eventos críticos com trilha temporal"          , P0        ,  8, Sprint 4, Todo  , Backend Engineer         , Dev Backend 3       , MS-01                        , "Eventos críticos auditáveis por usuário/operação"
MS-06    , Microsserviços      , Implementar Professional Service                   , "Cadastro e gestão de profissionais de saúde"               , P0        ,  8, Sprint 5, Todo  , Backend Engineer         , Dev Backend 1       , MS-01                        , "Cadastro e consulta de profissionais com RBAC, auditoria e gateway"
CLN-02   , Dados Clínicos      , Integração CID/CIAP/SIGTAP                         , "Validação de códigos e lookup"                             , P0        ,  8, Sprint 4, Todo  , Clinical Product Engineer, Dev Backend 2       , CLN-01                       , "Código inválido rejeitado; logs de validação"
CLN-03   , Dados Clínicos      , Histórico longitudinal por problema                , "Consulta temporal por problema clínico"                    , P0        ,  5, Sprint 4, Todo  , Backend Engineer         , Dev Backend 1       , MS-03                        , "Linha do tempo disponível por paciente/problema"
LGPD-01  , Segurança/LGPD      , Consentimento e base legal                         , "Fluxo de consentimento versionado"                         , P0        ,  8, Sprint 4, Todo  , Privacy Officer          , DPO                 , SEC-01                       , "Consentimento criado/revogado com auditoria"
DOCKER-01, Conteinerização     , Dockerfile por serviço com usuário não-root        , "Padronizar build seguro e healthcheck"                     , P0        ,  8, Sprint 5, Todo  , DevOps Engineer          , DevOps 1            , MS-01;MS-02;MS-03;MS-04;MS-05, "Imagens buildam e sobem com healthcheck"
DOCKER-02, Conteinerização     , Docker Compose multi-serviço                       , "Ambiente local completo para dev/test"                     , P0        ,  5, Sprint 5, Todo  , DevOps Engineer          , DevOps 1            , DOCKER-01                    , "Compose sobe gateway+serviços+bancos"
DOCKER-03, Conteinerização     , SBOM e scan de imagens                             , "Segurança de supply chain"                                 , P0        ,  5, Sprint 5, Todo  , Security Engineer        , SecOps 1            , DOCKER-01;CICD-01            , "CVEs críticos bloqueiam release; SBOM gerado"
CICD-02  , CI/CD               , Publish de imagens e promoção de artefatos         , "Build versionado e push em registry"                       , P0        ,  5, Sprint 5, Todo  , DevOps Engineer          , DevOps 1            , CICD-01;DOCKER-01            , "Artefatos versionados e rastreáveis"
K8S-01   , Kubernetes          , Deployments/Services/Ingress por serviço           , "Manifests Helm/Kustomize por ambiente"                     , P0        , 13, Sprint 6, Todo  , DevOps Engineer          , DevOps 2            , DOCKER-02;CICD-02            , "Deploy funcional em homolog"
K8S-02   , Kubernetes          , HPA + self-healing + PDB                           , "Resiliência e escalabilidade horizontal"                   , P0        ,  8, Sprint 6, Todo  , SRE                      , SRE 1               , K8S-01                       , "Teste de falha com recuperação automática"
K8S-03   , Kubernetes          , ConfigMap/Secret/NetworkPolicy/limits              , "Operação segura e previsível no cluster"                   , P0        ,  8, Sprint 6, Todo  , SRE                      , SRE 1               , K8S-01;SEC-01                , "Políticas ativas e validadas"
CICD-03  , CI/CD               , CD progressivo com rollback automático             , "Canary/blue-green com gate de SLO"                         , P0        ,  8, Sprint 6, Todo  , DevOps Engineer          , DevOps 2            , K8S-01;K8S-02                , "Rollback automático em violação de SLO"
OBS-01   , Observabilidade     , Logs estruturados e correlação                     , "Trace-id/request-id ponta a ponta"                         , P1        ,  5, Sprint 7, Todo  , SRE                      , SRE 1               , K8S-01                       , "Busca por request entre serviços"
OBS-02   , Observabilidade     , Métricas e tracing distribuído                     , "Dashboards de latência/erro/saturação"                     , P1        ,  8, Sprint 7, Todo  , SRE                      , SRE 1               , OBS-01                       , "Dashboard e alertas operacionais ativos"
OBS-03   , Observabilidade     , SLO/SLI por serviço                                , "Metas de disponibilidade e latência"                       , P1        ,  5, Sprint 7, Todo  , SRE                      , SRE 1               , OBS-02                       , "SLO publicado e monitorado"
AI-01    , AI/MLOps            , Implementar AI Service desacoplado                 , "Inferência clínica com timeout/fallback"                   , P1        , 13, Sprint 7, Todo  , ML Engineer              , ML 1                , MS-03;OBS-01                 , "Endpoint inferência versionado e resiliente"
AI-02    , AI/MLOps            , Pipeline de treino e registro de modelo            , "Versionamento de dados/experimentos/modelos"               , P1        ,  8, Sprint 8, Todo  , ML Engineer              , ML 1                , AI-01;CICD-02                , "Modelo promovido por critério de qualidade"
AI-03    , AI/MLOps            , Monitoramento de drift e performance               , "Alertas e rollback de modelo"                              , P1        ,  8, Sprint 8, Todo  , ML Engineer              , ML 1                , AI-02;OBS-02                 , "Drift monitorado e rollback funcional"
RES-01   , Evidências do Artigo, Plano experimental reprodutível                    , "Carga, disponibilidade, MTTR e resiliência"                , P1        ,  5, Sprint 8, Todo  , Research Engineer        , Jorge Oliveira      , K8S-02;OBS-03                , "Scripts versionados e reproduzíveis"
RES-02   , Evidências do Artigo, Métricas comparativas baseline vs target           , "Comparar ganho de escalabilidade/latência"                 , P1        ,  8, Sprint 8, Todo  , Research Engineer        , Jorge Oliveira      , RES-01                       , "Relatório com gráficos e tabelas"
RES-03   , Evidências do Artigo, Relatório de conformidade LGPD e segurança         , "Consolidar evidências técnicas para publicação"            , P1        ,  5, Sprint 8, Todo  , Privacy Officer          , DPO                 , LGPD-01;DOCKER-03;K8S-03     , "Checklist LGPD e segurança concluído"
